Title,Variant,Mileage,Fuel,Transmission,Location,Price,Local Price,Seller's Number,Seller's Logo
Mazda CX-5 2017,Mazda Cx5 2017 Sport,123760 kms,Diesel,Automatic,harare south,"$22,500",negotiable,+263775813151,Bliz Global Trading
Toyota Hilux 2012,Toyota Hilux 3.0ltr D4D,158000 kms,Diesel,Automatic,harare north,"$18,500",negotiable,+263772809485,Luxury Auto
Mercedes Benz GLE53S 2022,Mercedes benz gle53,34000 kms,Petrol,Automatic,harare cbd,"$140,000",negotiable,+263773382019,Fincron Motors
Nissan Serena 2017,Nissan Serena,78600 kms,Petrol,Automatic,harare north,"$12,500",negotiable,+263772809485,Luxury Auto
Honda Fit 2002,Fit GD1 Super Clean,155000 kms,Petrol,Automatic,harare west,"$5,900",,+263773025268,Mars Motors
Ford Ranger 2025,Ford Ranger T10 4X4,16 kms,Diesel,Automatic,harare north,"$67,000",,+263772809485,Luxury Auto
Toyota Hilux 2018,Toyota Hilux GD6 2.8 4x4,138000 kms,Diesel,Automatic,harare north,"$31,000",negotiable,+263772809485,Luxury Auto
Mazda CX5 2016,Mazda CX5,96700 kms,Diesel,Automatic,harare north,"$16,500",negotiable,+263772809485,Luxury Auto
Toyota Hilux 2024,Toyota hilux,31000 kms,Diesel,Automatic,harare cbd,"$65,000",,+263785260810,Bargain Cars
Mazda CX5 2016,Mazda CX5,88350 kms,Diesel,Automatic,harare north,"$15,500",negotiable,+263772809485,Luxury Auto
Toyota Land Cruiser 2018,Toyota Landcruise 79 series straight 6 super clean,167000 kms,Diesel,Manual,harare west,"$45,000",,+263773025268,Mars Motors
Nissan Caravan 2017,NV350 Caravan Diesel Engine Super Clean,87000 kms,Diesel,Automatic,harare west,"$18,500",,+263773025268,Mars Motors
Land Rover Discovery 2019,Pearl white Land Rover Discovery 5 – Diesel | Low Mileage | Excellent Condition,87300 kms,Diesel,Automatic,harare north,"$34,000",negotiable,+263771133546,
BMW X3 2019,BMW x3 XDrive M Spot Power Driver Super Clean Recently,53000 kms,Diesel,Automatic,harare west,"$35,000",,+263773025268,Mars Motors
BMW IX 2019,BMW X1 M series Super Clean,78000 kms,Diesel,Automatic,harare west,"$19,700",,+263773025268,Mars Motors
Toyota Hilux 2020,"A well looked after single cab,extras include allo...",81000 kms,Diesel,Manual,bulawayo cbd industrial,"$34,500",,+263774178866,Motordeals
Toyota Fielder 2017,Toyota filder  Hybrid,115428 kms,Hybrid,Automatic,harare south,"$13,800",negotiable,+263775813151,Bliz Global Trading
Lexus GX550 2025,Lexus GX 550 brand new,Petrol,Automatic,harare cbd,,"$180,000",negotiable,+263773382019,Fincron Motors
Mazda Axela 2010,Mazda  Axela  Sport,149007 kms,Petrol,Automatic,harare cbd,"$5,400",,+263772719986,
Range rover Vogue 2025,Range Rover Vogue,2000 kms,Diesel,Automatic,harare cbd,"$265,000",,+263773382019,Fincron Motors
